,Share Code,Share Name,Market Code,Market Name,매출액,영업이익,영업이익(발표기준),세전계속사업이익,당기순이익,  당기순이익(지배),  당기순이익(비지배),자산총계,부채총계,자본총계,  자본총계(지배),  자본총계(비지배),자본금,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,CAPEX,FCF,이자발생부채,영업이익률,순이익률,ROE(%),ROA(%),부채비율,자본유보율,EPS(원),PER(배),BPS(원),PBR(배),현금DPS(원),현금배당수익률,현금배당성향(%),발행주식수(보통주)
2015/12,042940,상지카일룸 *,42,건설,255,1,1,-29,-29,-29,,146,75,71,71,,65,-36,-4,32,1,-36,46,0.47,-11.47,-41.63,-15.95,104.85,18.64,-248,N/A,551,2.36,0,0.00,0.00,12904568
2016/12,042940,상지카일룸 *,42,건설,59,-58,-58,-76,-76,-76,,206,181,26,26,,73,7,-51,117,0,6,102,-98.58,-128.54,,,699.33,-57.62,-588,N/A,176,12.35,0,0.00,0.00,14653838
2017/12,042940,상지카일룸 *,42,건설,135,-43,-43,-83,-79,-79,0,404,137,268,268,,161,-126,-13,82,0,-126,19,-32.21,-58.85,-53.69,-25.93,50.99,66.96,-358,N/A,830,1.55,0,0.00,0.00,32292548
2018/12,042940,상지카일룸 *,42,건설,310,18,18,89,96,96,,1276,831,445,445,,184,-717,32,763,0,-717,643,5.93,31.10,27.06,11.48,186.63,143.31,271,7.65,1209,1.71,0,0.00,0.00,36840456
2019/12,042940,상지카일룸 *,42,건설,1049,6,6,-45,-51,-51,,1544,1095,449,449,,211,811,-1204,349,3,808,877,0.56,-4.89,-11.48,-3.64,243.71,114.03,-127,N/A,1064,1.59,0,0.00,0.00,42204745
2015/12,042600,새로닉스 *,199,디스플레이장비및부품,1306,93,93,91,63,55,8,994,344,650,589,61,62,130,-68,31,44,86,189,7.10,4.81,9.89,6.64,52.90,812.07,445,8.65,4816,0.80,40,1.04,8.85,12423574
2016/12,042600,새로닉스 *,199,디스플레이장비및부품,1179,45,45,154,117,110,7,1120,351,769,699,69,62,62,-99,-54,18,44,140,3.80,9.92,17.01,11.06,45.70,969.27,882,5.10,5718,0.79,40,0.89,4.46,12423574
2017/12,042600,새로닉스 *,199,디스플레이장비및부품,1262,2,2,31,13,29,-17,1166,451,716,705,11,62,-31,-73,39,66,-97,222,0.12,1.01,4.19,1.12,62.96,1010.17,237,32.07,5760,1.32,40,0.53,16.62,12423574
2018/12,042600,새로닉스 *,199,디스플레이장비및부품,1421,44,44,94,76,74,2,1313,517,797,783,14,62,-32,-38,27,21,-53,255,3.07,5.34,9.90,6.12,64.83,1119.88,592,6.92,6398,0.64,40,0.98,6.65,12423574
2019/12,042600,새로닉스 *,199,디스플레이장비및부품,1638,1,1,-21,-19,-19,0,1346,529,817,801,16,62,136,-43,-28,52,84,249,0.05,-1.15,-2.43,-1.42,64.78,1131.11,-155,N/A,6550,0.54,40,1.14,-25.41,12423574
