,Share Code,Share Name,Market Code,Market Name,매출액,영업이익,영업이익(발표기준),세전계속사업이익,당기순이익,  당기순이익(지배),  당기순이익(비지배),자산총계,부채총계,자본총계,  자본총계(지배),  자본총계(비지배),자본금,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,CAPEX,FCF,이자발생부채,영업이익률,순이익률,ROE(%),ROA(%),부채비율,자본유보율,EPS(원),PER(배),BPS(원),PBR(배),현금DPS(원),현금배당수익률,현금배당성향(%),발행주식수(보통주)
2020/06,090850,이지웰 *,208,상업서비스와공급품,206,32,32,30,21,27,-6,1234,749,485,490,-6,58,-163,44,29,7,-169,45,15.60,10.26,18.68,6.31,154.48,901.83,120,17.85,2150,3.00,0,,0.00,23386358
2020/09,090850,이지웰 *,208,상업서비스와공급품,227,14,14,8,3,5,-2,1301,728,573,581,-8,119,-17,-171,97,37,-54,70,6.17,1.38,15.52,5.39,127.02,417.88,23,25.51,2448,3.46,0,,0.00,23746361
2019/09,099750,이지케어텍 *,194,건강관리기술,132,-17,-17,-14,-14,-14,,550,118,431,431,,32,-30,3,-7,1,-31,9,-12.46,-10.66,-2.73,-2.08,27.44,1361.37,-221,N/A,6756,2.15,0,,0.00,6386000
2019/12,099750,이지케어텍 *,194,건강관리기술,194,6,6,7,5,5,,582,146,436,436,,32,-55,22,-8,3,-58,3,3.03,2.61,,,33.44,1377.21,79,,6833,2.34,0,,0.00,6386000
2020/03,099750,이지케어텍 *,194,건강관리기술,187,0,0,1,9,9,,584,169,415,415,,32,-22,57,-18,5,-27,14,0.25,4.89,,,40.72,1405.85,143,,6648,1.98,86,,58.74,6386000
2020/06,099750,이지케어텍 *,194,건강관리기술,150,-32,-32,-30,-30,-30,,543,164,379,379,,32,9,5,-7,1,8,13,-20.94,-19.79,,,43.19,1295.79,-466,,6077,3.15,,,0.00,6386000
2020/09,099750,이지케어텍 *,194,건강관리기술,213,-28,-28,-30,-36,-36,,609,266,343,343,,32,-18,-5,40,0,-18,53,-13.09,-16.83,,,77.42,1183.67,-561,N/A,5502,3.55,,,0.00,6386000
2019/09,035810,이지홀딩스 *,38,식품,4046,288,288,189,95,130,-36,19100,11348,7751,4350,3401,293,-29,-1160,1868,123,-152,8702,7.11,2.34,4.99,0.81,146.41,1301.08,225,16.39,7509,0.77,0,,0.00,57927351
2019/12,035810,이지홀딩스 *,38,식품,4231,-290,-290,-327,-366,-139,-226,17827,10524,7302,4181,3121,293,482,-34,-1060,159,323,7796,-6.86,-8.64,1.45,-0.75,144.12,1248.36,-241,49.13,7218,0.68,50,,-20.78,57927351
2020/03,035810,이지홀딩스 *,38,식품,3830,127,127,24,10,77,-67,18411,12034,6377,3409,2968,293,-60,-142,444,115,-176,8138,3.31,0.25,1.61,-1.42,188.70,1323.50,132,34.98,5886,0.60,0,0.00,0.00,57927351
2020/06,035810,이지홀딩스 *,38,식품,4108,246,246,816,657,659,-1,18966,11432,7534,4351,3183,282,-33,-103,1051,82,-115,8639,5.98,16.00,17.65,2.18,151.74,1538.72,1168,3.98,7822,0.64,,,0.00,55640623
2020/09,035810,이지홀딩스 *,38,식품,4178,104,104,112,49,54,-5,19320,11660,7660,4498,3162,282,-293,-295,417,193,-486,9019,2.49,1.17,14.69,1.82,152.22,1560.54,97,3.66,8085,0.52,,,0.00,55640623
2019/09,160600,이큐셀 *,199,디스플레이장비및부품,145,-71,-71,-84,-84,-83,-1,1122,724,398,402,-3,151,-178,-93,251,3,-182,441,-48.62,-57.94,-42.57,-15.66,181.66,183.27,-323,N/A,1351,2.34,0,,0.00,30136203
2019/12,160600,이큐셀 *,199,디스플레이장비및부품,310,-99,-99,-165,-182,-182,0,807,661,146,146,,151,18,-138,38,2,16,419,-32.04,-58.61,-134.31,-41.57,452.60,13.28,-605,N/A,491,3.49,0,,0.00,30136203
2020/03,160600,이큐셀 *,199,디스플레이장비및부품,101,-16,-16,-27,-27,-27,,648,505,142,142,,151,6,133,-107,,6,25,-15.44,-27.08,-149.09,-43.94,354.94,10.79,-91,N/A,479,0.65,0,,0.00,30136203
2020/06,160600,이큐셀 *,199,디스플레이장비및부품,118,-11,-11,-60,-61,-61,,536,402,134,134,,151,-74,-13,-22,0,-74,249,-9.45,-52.03,-166.23,-49.33,300.19,-43.30,-202,N/A,224,1.38,,,0.00,60136203
2020/09,160600,이큐셀 *,199,디스플레이장비및부품,58,-45,-45,-34,-35,-35,,437,338,99,99,,301,-49,127,-61,0,-49,183,-77.61,-60.43,-122.28,-39.18,342.62,-58.22,-58,N/A,165,1.88,,,0.00,60136203
2019/09,092130,이크레더블 *,208,상업서비스와공급품,79,21,21,23,18,18,,623,93,530,530,,61,-19,14,-1,8,-27,3,26.78,22.90,26.31,22.30,17.56,788.22,151,16.62,4401,4.16,0,,0.00,12043600
2019/12,092130,이크레더블 *,208,상업서비스와공급품,62,7,7,9,7,7,,626,89,537,537,,61,35,-28,-1,6,29,2,11.81,11.43,26.81,22.90,16.61,799.68,58,16.37,4460,4.16,740,,1264.98,12043600
2020/03,092130,이크레더블 *,208,상업서비스와공급품,91,33,33,35,27,27,,672,197,475,475,,61,16,138,-1,,16,2,36.62,30.15,32.41,22.80,41.43,699.19,227,14.28,3947,4.36,0,,0.00,12043600
2020/06,092130,이크레더블 *,208,상업서비스와공급품,202,118,118,119,93,93,,711,143,568,568,,61,126,114,-90,,126,3,58.21,45.96,26.91,21.30,25.16,850.20,771,16.53,4718,4.23,0,,0.00,12043600
2020/09,092130,이크레더블 *,208,상업서비스와공급품,82,20,20,21,16,16,,682,97,584,584,,61,7,94,-1,2,5,3,24.02,19.43,25.70,21.95,16.67,876.20,133,19.72,4850,4.83,0,,0.00,12043600
2019/09,096040,이트론 *,197,전자장비와기기,101,2,2,1,1,1,,832,155,677,677,,699,-39,15,347,0,-39,94,2.00,1.23,-7.60,-6.69,22.89,16.95,0,N/A,194,1.83,0,,0.00,349598748
2019/12,096040,이트론 *,197,전자장비와기기,110,-13,-13,-15,-21,-21,,1049,395,654,654,,699,-25,-420,250,0,-25,316,-11.82,-19.05,-5.74,-4.15,60.44,18.01,-6,N/A,187,1.41,0,,,349598748
